"star","nChar","income","unviersity","nSentence","p.","p..1","very.positive","some.positive","neutral","some.negative","very.negative"
5,920,80310,0,9,0,0,2,0,4,3,0
3,178,66000,1,6,0,0,2,1,1,1,0
3,761,67165,1,10,1,0,1,5,2,3,1
1,339,66000,1,4,0,0,1,1,0,2,2
4,301,66000,1,6,0,0,0,3,1,1,0
4,346,72569,1,5,2,0,4,4,3,1,1
4,629,45166,0,13,4,0,5,4,1,4,0
5,279,67165,1,9,0,0,7,1,2,0,0
5,1205,66000,1,33,9,0,4,5,6,2,0
4,688,66000,1,15,0,2,0,2,3,3,1
4,1261,66000,1,18,0,0,1,5,6,6,2
4,283,77736,0,3,0,0,1,3,0,2,1
5,139,80310,0,3,0,0,2,3,0,0,0
2,500,66000,1,7,0,0,0,4,3,2,2
5,245,67165,1,6,3,0,3,5,3,1,0
5,689,55043,1,8,3,0,2,3,3,2,2
5,298,37316,1,4,1,0,5,0,1,0,0
3,990,77736,0,12,0,0,5,7,5,3,2
5,694,66000,1,13,1,0,1,4,1,1,0
2,1135,66000,1,9,0,0,1,2,6,9,3
4,189,89129,0,3,2,0,0,3,0,0,0
4,202,66000,1,4,2,0,3,1,0,0,0
2,1476,66000,1,18,0,1,2,3,5,2,4
5,324,80310,0,5,0,0,1,1,1,1,0
4,599,66000,1,18,3,1,5,3,3,2,0
4,295,37316,1,5,1,0,1,2,1,1,0
5,239,66000,1,7,4,0,3,2,0,0,0
2,414,80310,0,10,0,0,1,5,1,1,0
2,435,55043,1,4,0,0,0,3,4,2,0
5,98,77619,0,3,0,0,0,0,0,0,0
1,452,66000,1,6,0,0,0,0,1,1,1
2,983,41255,0,16,0,0,0,3,4,3,0
5,430,77619,0,5,0,0,1,4,3,1,0
1,722,35934,1,10,0,0,2,1,0,3,1
4,392,77619,0,4,0,0,0,1,4,0,0
5,1162,66000,1,17,2,0,7,10,10,1,0
5,2138,45166,0,32,0,0,4,18,21,17,0
3,476,55043,1,8,0,0,0,0,2,2,1
5,295,55043,1,8,5,0,2,1,2,0,0
5,745,77619,0,9,1,0,3,1,2,6,0
1,276,67165,1,9,1,2,0,0,2,0,0
5,169,72569,1,3,1,0,1,2,1,1,0
5,413,35934,1,4,0,0,4,3,0,0,0
5,225,43706,0,5,2,0,2,1,0,0,0
5,226,83084,0,4,1,0,3,2,0,0,1
5,509,55687,1,8,1,0,5,6,3,2,-1
4,113,55687,1,1,0,0,2,3,1,1,0
1,287,66000,1,6,1,0,0,0,0,3,4
3,547,49336,0,10,0,3,0,5,6,2,2
1,490,35934,1,6,0,0,0,1,1,0,2
5,304,77143,0,6,3,0,0,1,1,2,0
5,308,55043,1,21,3,0,2,0,1,1,0
4,1470,55687,1,32,16,1,1,8,7,11,0
5,205,66000,1,4,0,0,2,1,0,2,0
3,859,66000,1,7,0,0,1,0,3,5,0
4,523,66000,1,9,2,0,2,3,1,2,0
3,148,66000,1,2,0,0,0,2,3,0,1
5,183,77736,0,5,3,0,3,1,0,0,0
4,223,67165,1,4,1,0,1,3,2,0,0
4,1625,83084,0,26,0,0,5,1,6,6,2
2,99,67165,1,4,4,0,0,0,0,0,0
5,1230,37316,1,12,1,0,3,8,3,6,0
3,1652,49336,0,20,1,0,1,4,6,9,0
4,797,66000,1,11,1,0,1,4,0,5,1
2,2108,55687,1,60,3,3,3,4,12,8,2
5,623,66000,1,8,0,0,6,2,1,1,0
5,475,35934,1,4,1,0,3,4,3,1,0
5,310,77736,0,3,1,0,2,4,2,0,1
4,109,83084,0,4,1,0,1,1,0,0,0
4,401,66000,1,1,0,0,1,2,2,0,0
1,447,37316,1,11,1,0,0,4,3,1,3
5,1223,36695,1,17,0,0,5,3,7,4,1
1,1114,98140,1,16,0,0,0,2,8,4,4
5,170,55687,1,2,0,0,4,4,1,1,0
5,91,66000,1,3,0,0,1,1,0,0,0
5,196,67165,1,2,1,0,2,2,0,1,0
4,1417,77619,0,16,1,0,3,4,4,8,2
5,105,80310,0,3,0,0,2,0,1,0,0
5,359,66000,1,6,6,0,5,5,2,1,0
2,325,41255,0,5,0,0,2,1,3,0,0
4,513,66000,1,11,0,0,0,2,1,0,0
5,119,49865,0,4,4,0,1,2,0,1,0
5,312,35934,1,8,0,0,0,1,2,2,0
4,920,88716,0,12,0,0,3,4,3,4,1
4,1149,72569,1,30,0,0,4,6,15,5,1
4,292,49336,0,7,0,0,2,2,1,0,0
4,296,66000,1,3,1,0,0,1,1,2,0
4,546,49865,0,6,0,0,1,2,6,3,0
5,923,45166,0,20,9,0,3,3,6,4,1
3,183,77736,0,3,0,0,0,1,0,0,0
5,734,66000,1,10,0,0,2,5,2,2,0
5,317,83084,0,7,6,0,3,1,1,3,0
5,822,66000,1,22,4,2,3,4,2,4,0
4,703,37316,1,9,0,0,2,2,0,1,-1
5,224,55043,1,7,0,0,0,4,3,0,0
5,508,55687,1,9,1,0,3,1,-1,2,0
5,626,77619,0,7,1,0,4,2,4,0,0
1,390,66000,1,4,0,0,0,1,0,0,0
2,1701,66000,1,19,0,0,1,4,5,5,6
4,2663,55043,1,22,1,1,5,6,12,8,3
5,1281,66000,1,21,1,0,4,7,4,4,0
5,276,55687,1,7,0,0,2,2,1,0,0
1,566,77736,0,10,1,2,2,2,4,3,1
5,123,66000,1,5,3,0,1,2,0,0,0
2,930,66000,1,13,0,0,3,2,8,5,3
5,154,49336,0,4,2,0,4,3,0,1,0
4,883,66000,1,16,1,0,3,4,6,3,0
5,206,67165,1,2,2,0,0,0,0,1,0
5,339,66000,1,9,2,0,0,1,0,0,0
5,391,35934,1,5,0,1,3,2,4,1,0
2,1456,66000,1,24,0,0,0,5,10,4,2
4,629,66000,1,19,4,0,1,6,0,2,0
3,845,37316,1,14,1,1,0,4,1,5,0
4,373,72569,1,8,0,0,7,1,0,1,0
5,2120,37316,1,30,5,0,4,6,8,4,0
5,261,55687,1,3,1,0,3,2,0,1,0
4,1412,37316,1,16,0,0,1,8,7,9,2
3,313,77619,0,5,0,0,0,4,1,3,0
4,653,55687,1,15,3,0,0,8,3,3,0
4,782,66000,1,23,6,0,3,7,2,3,0
5,512,98140,1,10,5,0,3,3,1,1,0
3,160,66000,1,3,0,0,0,2,2,2,1
4,289,67165,1,5,0,0,1,2,2,3,1
2,201,72569,1,3,0,0,0,1,3,1,3
5,96,49425,0,5,2,0,2,0,0,2,0
3,479,55687,1,7,0,0,0,4,3,2,0
2,976,55043,1,11,0,0,0,4,3,3,1
5,340,77619,0,6,1,0,3,5,1,0,0
4,710,37316,1,12,0,0,1,4,1,5,2
4,330,77736,0,7,0,0,1,1,3,1,1
5,391,66000,1,7,1,0,5,1,1,1,1
5,934,77619,0,10,0,0,3,2,1,4,0
4,1318,66000,1,13,1,0,2,13,4,6,1
1,623,80310,0,7,0,0,0,1,2,2,1
4,282,55043,1,4,0,0,0,2,3,0,0
5,322,43706,0,6,0,0,1,2,2,0,0
4,120,55043,1,3,2,0,1,2,2,0,0
5,100,66000,1,2,1,0,1,1,0,0,0
4,1613,77736,0,26,8,1,4,5,7,6,0
2,506,67165,1,14,0,0,0,0,2,1,2
5,1243,35934,1,18,2,1,7,8,7,5,2
4,795,66000,1,9,2,0,6,6,1,4,0
2,395,67165,1,5,0,0,0,1,2,2,0
4,361,37316,1,6,0,0,2,1,0,2,0
5,183,46162,1,4,0,0,2,2,1,0,0
5,1302,66000,1,14,0,0,6,4,5,5,1
1,623,49865,0,11,0,1,0,0,0,4,4
4,888,49865,0,10,1,0,6,2,4,5,0
4,293,67165,1,4,0,0,3,3,1,0,0
5,539,55043,1,11,0,0,6,2,3,1,0
4,395,109742,0,10,3,0,1,2,1,3,0
3,286,80310,0,5,0,0,0,1,1,3,2
1,204,41255,0,2,2,0,0,0,1,2,2
4,227,72569,1,8,2,0,1,1,1,0,0
1,468,83084,0,18,0,0,0,1,1,1,0
5,252,77619,0,5,0,0,0,2,3,4,0
4,1318,66000,1,15,0,0,4,8,5,5,0
4,228,66000,1,3,0,0,1,0,1,3,0
3,339,77736,0,8,0,1,1,3,2,1,0
1,282,45166,0,5,0,0,0,1,0,1,1
4,1090,66000,1,12,0,0,4,7,5,4,1
5,340,80310,0,5,0,0,3,3,0,0,0
1,98,38919,1,1,0,0,0,0,1,0,2
5,746,41255,0,11,1,0,7,3,5,3,1
5,321,66000,1,6,1,0,1,5,5,1,0
3,1285,77736,0,18,0,0,3,3,4,7,1
2,399,77736,0,11,4,1,-1,1,1,2,1
4,2521,66000,1,22,0,0,5,11,16,11,2
5,1455,66000,1,33,1,1,7,8,4,2,1
1,783,37316,1,21,1,2,1,2,6,6,1
3,244,45166,0,5,1,0,2,2,0,2,1
4,1132,37316,1,21,6,1,10,7,7,1,0
1,148,72569,1,2,0,0,0,1,0,1,0
4,441,41255,0,22,4,0,3,2,1,1,0
4,897,41255,0,17,0,0,3,3,5,5,6
5,165,66000,1,6,6,0,1,1,0,1,0
2,171,55687,1,6,4,0,0,0,0,0,1
5,2766,55043,1,31,3,1,9,5,14,16,0
2,990,45166,0,17,0,0,0,3,3,2,1
1,292,35934,1,5,0,0,1,0,2,2,0
1,1300,66000,1,22,0,0,1,5,8,8,6
5,445,77736,0,7,2,0,2,4,2,1,0
1,402,67165,1,8,0,0,0,0,0,1,1
4,482,66000,1,4,2,0,1,4,2,0,1
4,586,49865,0,8,0,0,0,5,1,4,0
3,1085,55043,1,9,1,0,3,6,8,7,1
3,1083,72569,1,12,1,0,5,4,5,4,0
1,1678,66000,1,27,1,1,0,1,4,10,5
5,1050,63109,1,11,2,0,4,4,7,6,1
4,324,72569,1,5,0,0,2,0,1,2,0
5,975,83084,0,16,7,1,10,6,8,2,0
5,545,77619,0,11,9,0,7,2,2,4,0
5,605,66000,1,14,1,0,3,3,5,1,0
5,220,55043,1,3,1,0,5,1,1,0,0
1,889,35934,1,13,0,0,1,3,3,3,2
4,235,67165,1,3,0,0,0,0,1,0,0
4,251,77736,0,5,1,0,0,1,1,0,0
4,299,77736,0,4,0,0,2,0,0,2,0
5,239,80310,0,6,3,0,1,3,0,0,0
4,1987,66000,1,22,2,1,3,12,9,12,2
5,331,41255,0,6,2,0,2,2,2,1,0
5,309,55043,1,23,3,2,0,0,1,1,0
4,519,66000,1,6,0,0,2,2,2,2,0
5,473,55043,1,7,2,0,5,3,3,0,0
5,441,109742,0,8,3,0,6,1,3,0,0
3,502,98140,1,9,2,0,1,4,1,3,0
4,555,35934,1,6,0,0,4,3,2,4,0
5,238,98140,1,4,2,0,2,1,1,0,0
4,492,66000,1,8,0,0,1,5,0,1,0
4,900,49336,0,8,0,0,7,4,4,1,0
4,931,66000,1,12,0,0,2,9,5,4,0
5,3126,67165,1,50,10,0,15,13,22,5,1
5,297,66000,1,9,3,3,5,0,2,2,0
1,363,55043,1,31,5,1,0,1,0,1,1
4,842,77619,0,14,0,0,3,12,5,3,0
5,104,43706,0,3,0,0,3,2,1,0,0
3,1513,45166,0,17,0,0,1,6,5,5,1
5,154,37316,1,5,3,0,2,1,0,2,0
2,457,66000,1,10,0,1,1,2,2,4,4
3,1344,77736,0,63,0,3,2,1,7,6,2
3,300,66000,1,7,0,0,3,4,2,2,0
5,237,66000,1,3,2,0,3,0,1,0,0
5,881,35934,1,12,0,1,5,1,6,1,1
5,334,67165,1,8,5,0,2,1,0,1,0
4,916,49336,0,12,2,0,0,5,7,6,0
4,252,67165,1,5,3,0,1,2,3,1,1
4,1341,35934,1,17,0,1,2,3,2,5,0
3,297,37316,1,7,0,0,0,1,3,1,2
5,196,37316,1,5,1,0,1,0,1,1,0
4,301,45166,0,6,0,0,0,2,1,1,1
3,1181,66000,1,13,0,0,4,1,3,6,0
5,318,77619,0,5,0,0,1,2,3,0,0
2,753,66000,1,10,0,1,1,0,1,3,2
5,163,35934,1,4,0,0,3,1,1,0,0
1,485,98140,1,12,0,0,0,0,5,3,6
2,1345,66000,1,12,0,0,2,5,11,6,0
5,513,83084,0,8,1,1,5,5,6,4,0
5,83,37316,1,4,3,0,2,2,0,1,0
3,1075,66000,1,31,0,2,4,3,8,7,0
2,363,77619,0,9,0,1,1,0,0,1,0
3,185,66000,1,4,1,0,0,1,0,3,0
3,130,55043,1,3,0,0,0,0,2,1,0
4,404,55687,1,5,1,0,2,5,3,0,0
1,1210,66000,1,12,0,0,1,6,0,4,8
5,380,66000,1,7,2,0,6,3,0,1,0
4,215,66000,1,5,1,0,1,1,1,1,0
4,215,37316,1,3,2,0,1,2,0,3,0
1,161,66000,1,4,0,0,0,1,1,3,0
1,2336,43706,0,24,0,1,1,4,12,19,4
5,121,66000,1,3,0,0,4,1,2,1,0
5,100,109742,0,4,0,0,0,0,0,0,0
5,592,67165,1,9,2,0,6,2,5,0,0
5,446,66000,1,7,2,0,3,3,5,3,0
2,260,49865,0,3,0,0,0,0,1,1,1
4,361,55043,1,7,0,0,1,2,3,1,0
5,485,66000,1,6,0,0,5,1,3,0,0
5,806,26724,1,8,0,0,4,2,3,5,0
5,333,67165,1,8,0,0,2,3,2,1,0
5,756,35934,1,12,4,0,1,2,1,1,0
5,672,77736,0,10,3,0,5,2,1,2,1
4,817,77619,0,9,1,0,1,3,6,3,1
3,266,46162,1,4,0,0,0,1,0,3,0
4,1309,66000,1,23,15,0,5,4,4,2,0
5,377,77619,0,6,0,0,1,1,1,0,0
5,97,37316,1,3,2,0,0,3,0,0,0
5,275,55687,1,6,0,0,0,1,0,3,0
3,192,66000,1,3,0,0,0,0,0,3,0
5,821,80310,0,13,1,0,4,5,5,0,1
5,162,49865,0,8,4,0,3,1,2,0,0
3,964,98140,1,14,0,0,1,1,4,6,7
5,372,37116,1,9,3,0,1,6,3,0,0
4,478,37316,1,6,2,0,2,4,0,3,0
5,109,66000,1,6,2,0,0,1,1,0,0
5,1393,80310,0,13,4,0,4,7,5,0,0
5,108,49336,0,2,1,0,1,0,1,0,0
1,210,72569,1,7,1,0,0,1,0,1,1
2,691,66000,1,16,0,2,0,0,3,3,3
5,672,66000,1,11,2,0,3,5,4,1,0
4,267,63109,1,4,2,0,2,3,1,0,1
4,311,72569,1,4,1,0,4,1,1,0,0
4,700,72569,1,8,0,0,0,2,4,4,2
3,446,55043,1,8,0,0,0,8,3,3,0
5,1545,72569,1,25,0,2,7,7,11,15,2
5,536,55043,1,7,1,0,2,3,2,4,1
5,128,77736,0,2,2,0,3,0,0,0,0
5,237,67165,1,3,1,0,2,1,2,2,0
5,541,80310,0,7,4,0,6,1,3,0,0
5,380,98140,1,4,0,0,1,0,2,3,0
5,114,88716,0,2,0,0,1,0,1,0,0
1,1064,49336,0,17,2,0,0,3,3,4,4
5,573,66000,1,8,0,0,2,2,2,2,0
4,1245,35934,1,12,0,0,4,4,5,8,1
5,207,77619,0,6,3,0,3,1,1,2,0
5,429,55043,1,7,2,0,5,1,2,1,-1
5,259,80310,0,3,0,0,0,3,2,1,1
5,169,67165,1,4,1,0,1,2,2,1,0
4,835,41255,0,13,0,0,3,4,8,2,0
5,320,55043,1,7,1,0,3,1,3,0,0
1,485,67165,1,6,0,0,0,0,1,4,2
5,220,66000,1,3,0,0,2,2,1,0,0
5,380,55043,1,5,0,0,2,4,0,2,0
1,469,80310,0,5,0,0,1,1,0,2,2
5,377,66000,1,6,3,0,4,1,2,0,0
3,310,75065,0,12,0,0,0,0,0,1,1
5,658,37316,1,11,4,0,5,4,1,5,0
1,1137,66000,1,15,0,0,0,3,1,2,4
3,362,83084,0,5,0,0,0,1,4,0,0
1,3529,37316,1,35,0,0,3,5,9,11,10
5,204,67165,1,4,1,0,2,2,1,0,0
4,120,35934,1,2,0,0,0,1,1,0,0
3,175,80310,0,4,0,0,1,2,1,2,0
1,889,37316,1,10,0,0,0,1,1,8,2
4,346,66000,1,4,0,0,1,3,4,0,0
5,452,77736,0,1,1,0,3,4,2,1,0
4,1637,72569,1,16,0,0,5,10,3,6,2
1,1071,66000,1,25,3,1,1,4,3,8,5
5,497,77736,0,9,0,0,4,3,5,5,0
1,252,66000,1,5,0,0,0,0,1,1,0
5,169,67165,1,4,3,0,2,0,0,0,0
1,441,49336,0,8,0,0,0,0,2,2,2
5,1428,77736,0,24,2,1,3,9,6,2,1
4,125,66000,1,3,0,0,5,0,0,0,0
5,349,67165,1,7,0,0,1,0,2,2,0
4,740,72569,1,23,0,0,3,5,1,5,1
4,263,77736,0,6,0,0,0,5,2,1,0
4,1062,43706,0,15,4,0,3,5,7,1,0
1,231,49336,0,6,0,0,0,1,4,3,0
5,854,67165,1,13,5,1,5,8,4,1,0
4,442,77736,0,6,1,0,4,0,4,4,0
3,388,37316,1,11,0,0,0,2,1,3,0
5,234,67165,1,4,1,0,2,3,3,0,0
5,118,45166,0,3,2,0,1,1,2,1,0
5,1472,37316,1,28,11,0,8,9,7,4,1
5,400,55687,1,6,1,0,5,4,0,1,0
5,721,77736,0,13,1,0,5,4,2,3,0
4,329,55043,1,6,0,0,0,3,2,1,0
5,127,66000,1,3,3,0,0,2,0,1,0
3,1419,35934,1,16,0,1,3,7,8,3,2
5,378,98140,1,12,1,0,2,1,2,1,0
5,110,72569,1,2,0,0,1,0,0,0,0
3,1003,66000,1,13,0,1,3,2,3,3,1
4,340,80310,0,5,0,0,3,4,1,0,0
1,624,77619,0,6,0,0,0,2,5,1,3
4,1624,67165,1,26,1,0,3,4,6,6,1
4,625,66000,1,10,1,0,3,6,6,3,1
5,270,55043,1,3,1,0,2,1,0,1,1
5,462,67165,1,5,1,0,2,2,0,1,0
3,96,66000,1,2,0,0,0,0,1,0,0
2,737,66000,1,8,2,0,0,1,2,5,1
5,258,67165,1,5,1,0,3,2,1,0,0
5,531,37116,1,9,0,0,1,1,4,2,0
5,268,66000,1,4,0,0,3,3,1,0,0
5,210,67165,1,4,1,0,1,2,1,0,0
2,1396,37316,1,20,1,1,0,2,2,3,1
5,722,35934,1,12,1,0,6,4,1,2,0
5,180,38264,1,10,3,0,5,1,0,0,0
5,368,66000,1,9,4,0,7,3,2,1,0
3,282,35934,1,4,2,0,3,6,1,1,0
4,162,67165,1,5,0,0,1,0,1,0,0
5,176,66000,1,8,4,0,2,1,3,1,0
4,111,49336,0,2,0,0,0,0,0,0,0
2,424,49336,0,1,0,0,1,0,2,1,1
1,821,46162,1,17,2,0,0,3,3,6,3
4,497,35934,1,12,1,1,1,3,0,1,0
2,280,55043,1,5,0,0,0,1,1,4,1
1,355,26724,1,9,2,2,0,1,1,9,2
3,1357,77736,0,15,0,0,1,7,3,7,1
3,398,43706,0,17,4,0,0,1,0,3,2
4,2098,63109,1,31,0,1,7,9,19,7,0
2,587,66000,1,15,3,0,0,1,3,3,0
5,1393,41255,0,17,1,0,1,4,2,4,0
1,566,37316,1,10,1,0,0,0,2,2,4
1,209,83084,0,4,0,0,0,0,0,4,0
3,167,77619,0,4,0,0,0,1,0,0,0
2,463,83084,0,5,0,0,0,2,0,3,0
3,349,66000,1,7,0,0,0,3,2,1,3
2,604,72569,1,16,0,2,0,1,0,4,0
3,731,66000,1,11,2,0,0,3,2,2,0
3,585,77736,0,11,0,0,2,1,2,3,0
4,224,35934,1,3,2,0,2,2,0,0,0
5,335,66000,1,8,3,0,2,2,5,0,1
5,102,66000,1,3,3,0,3,0,0,0,0
5,129,35934,1,3,1,0,1,0,0,0,0
3,1304,55687,1,23,0,0,0,8,7,11,0
5,351,66000,1,8,2,0,2,2,3,1,0
3,1067,66000,1,15,2,0,1,4,6,3,0
5,554,43706,0,8,2,0,3,4,5,1,0
5,129,63109,1,4,3,0,2,0,0,0,0
3,1215,37316,1,18,6,0,3,5,4,7,0
5,696,66000,1,9,0,0,4,2,2,2,0
1,293,83084,0,5,0,0,0,0,0,2,0
4,174,98140,1,5,0,0,1,1,1,0,0
4,852,98140,1,12,2,0,2,3,9,3,0
3,487,67165,1,7,0,1,1,4,3,0,1
4,1853,66000,1,35,5,0,3,7,3,12,1
5,248,80310,0,5,1,0,3,2,1,0,0
5,312,77736,0,5,0,0,2,4,2,0,0
3,211,37316,1,4,1,0,0,2,3,1,1
4,387,77736,0,4,2,0,6,3,1,1,0
3,1051,66000,1,16,0,0,4,5,1,4,1
5,128,35934,1,4,1,0,4,2,0,0,0
4,1650,66000,1,19,5,0,2,5,10,10,2
5,922,35934,1,9,7,0,5,10,8,2,0
3,473,66000,1,7,0,0,0,1,2,1,0
2,389,35934,1,7,0,0,1,1,2,1,0
4,250,66000,1,8,0,3,2,1,1,2,0
5,209,66000,1,4,2,0,0,2,0,0,0
2,90,77619,0,2,0,1,0,0,0,0,0
3,1059,37316,1,11,0,0,2,3,2,7,2
5,648,66000,1,11,5,0,2,8,5,1,1
4,296,67165,1,7,2,0,3,1,1,1,1
4,488,77619,0,8,0,0,3,8,2,2,0
4,1565,36695,1,21,0,0,1,5,12,5,2
4,147,37316,1,4,0,0,3,1,2,0,0
3,1557,83084,0,26,0,0,5,10,9,11,5
3,171,37316,1,3,1,0,2,0,0,0,0
5,1759,67165,1,35,2,1,4,6,9,4,0
3,293,77619,0,4,0,0,3,0,0,4,0
1,279,49336,0,6,0,0,0,0,0,3,2
5,389,66000,1,8,6,0,3,2,2,0,0
5,294,66000,1,7,4,0,2,2,2,1,0
4,667,38264,1,5,1,0,4,1,1,1,1
1,744,66000,1,7,1,0,0,0,3,6,5
4,1197,67165,1,12,1,0,3,3,5,1,0
5,192,72569,1,6,6,0,1,3,3,0,1
4,515,72569,1,6,0,0,0,2,2,2,1
5,101,77736,0,2,0,0,2,3,0,0,0
5,138,88716,0,3,1,0,2,0,0,2,0
5,483,67165,1,11,3,0,2,4,0,1,0
4,122,66000,1,6,0,0,0,1,1,0,0
5,227,77736,0,5,2,0,1,1,1,0,0
1,408,66000,1,5,0,0,0,1,2,2,3
3,673,30413,1,7,0,0,1,3,0,3,2
4,232,49865,0,3,1,0,2,2,4,0,0
5,295,35934,1,4,1,0,4,0,1,1,0
4,452,35934,1,10,4,0,0,6,1,2,1
3,543,77736,0,7,0,0,0,1,2,3,1
3,470,72569,1,8,0,0,0,3,2,3,1
2,190,37316,1,2,1,0,1,0,0,1,1
1,843,83084,0,19,0,0,-1,2,2,13,5
5,1628,66000,1,22,3,3,6,8,8,3,0
4,324,80310,0,3,0,0,1,0,1,1,0
3,548,35934,1,7,0,0,0,3,2,0,0
5,163,45166,0,5,3,0,3,0,1,0,0
1,254,49336,0,5,0,0,0,1,1,1,0
5,1056,72569,1,11,0,0,3,4,2,7,0
3,532,38919,1,8,1,0,3,5,5,1,0
2,627,37316,1,8,0,0,3,1,1,2,0
5,327,72569,1,5,1,0,3,1,2,1,0
5,94,77619,0,2,1,0,2,1,1,0,0
5,233,66000,1,9,0,0,3,1,0,0,0
5,603,98140,1,11,4,1,5,2,3,1,-1
4,275,67165,1,3,0,0,1,2,3,1,0
4,2268,43706,0,25,1,0,4,5,8,8,0
5,105,66000,1,2,2,0,1,0,0,0,0
3,2268,55043,1,45,1,4,3,14,5,8,1
4,166,66000,1,4,3,0,1,4,0,0,0
3,670,72569,1,10,0,0,1,2,5,0,1
5,302,67165,1,6,0,0,4,0,2,2,0
5,324,77736,0,4,1,0,3,4,5,1,1
1,717,37316,1,9,2,0,0,0,4,3,2
5,137,35934,1,3,0,0,0,0,1,1,0
4,376,67165,1,6,2,0,0,1,1,3,0
1,1243,49336,0,17,0,1,0,1,5,10,2
4,2436,49425,0,23,0,1,7,11,9,4,6
5,676,72569,1,8,0,0,1,0,5,5,0
5,342,77736,0,5,1,0,3,1,1,0,1
3,345,72569,1,8,1,0,2,3,2,1,2
5,140,77736,0,4,1,0,1,1,1,2,0
5,218,35934,1,3,0,0,1,0,1,1,0
5,670,45166,0,11,5,0,4,5,5,3,0
5,261,66000,1,4,2,0,3,1,2,1,0
5,499,66000,1,10,0,0,3,4,0,2,0
2,1090,66000,1,13,0,0,2,3,5,4,1
5,212,77736,0,4,0,0,3,4,1,1,0
3,313,37316,1,5,0,0,0,2,4,1,0
2,216,43706,0,3,0,0,0,0,2,0,0
2,469,66000,1,11,0,0,1,1,1,2,0
5,302,66000,1,4,2,0,2,3,1,0,0
2,737,67165,1,18,0,0,3,6,2,4,0
1,105,66000,1,3,0,0,0,0,0,2,0
2,324,35934,1,9,1,0,2,1,2,0,1
5,281,55687,1,6,1,0,0,2,1,0,0
3,222,36695,1,12,4,0,0,2,1,1,0
4,158,66000,1,4,0,0,1,0,1,1,0
3,314,66000,1,7,0,3,2,2,1,3,0
5,86,66000,1,3,2,0,2,1,0,0,0
3,807,49336,0,15,0,0,0,5,4,7,0
4,1352,77619,0,32,11,1,5,10,7,8,1
5,1117,35934,1,17,0,0,6,7,13,3,0
5,803,49336,0,15,5,1,8,1,3,3,0
2,203,49336,0,6,0,0,2,1,0,1,0
5,446,35934,1,6,1,0,3,0,0,0,0
3,1012,37316,1,11,0,0,1,9,7,5,0
4,351,77736,0,5,0,0,1,3,1,2,0
5,217,66000,1,8,1,0,2,3,0,0,0
4,1005,80310,0,15,3,0,3,10,4,3,0
5,132,55043,1,3,0,0,2,0,0,0,0
4,287,37316,1,6,2,0,2,1,0,0,0
4,1551,35934,1,14,2,0,4,9,5,10,2
2,816,77736,0,12,1,0,1,0,1,3,3
5,113,66000,1,2,0,0,1,1,1,0,0
5,358,37316,1,6,0,0,2,3,3,1,0
5,1503,55043,1,15,7,0,6,6,9,11,1
5,91,66000,1,3,0,0,1,1,1,1,0
4,534,49336,0,8,0,0,5,5,4,3,0
5,936,77619,0,15,2,2,2,7,3,3,1
4,472,67165,1,6,1,0,6,0,3,1,0
4,600,67165,1,6,1,0,2,2,2,2,1
5,539,72569,1,5,0,0,1,3,1,4,1
4,255,43706,0,6,0,0,1,1,1,1,2
3,934,77736,0,14,0,0,0,2,4,3,1
3,684,77736,0,12,0,0,1,4,10,5,1
5,174,77736,0,3,1,0,0,3,0,0,0
4,398,66000,1,5,0,0,1,2,1,1,1
1,103,83084,0,1,0,0,0,0,0,0,0
5,916,77736,0,13,1,3,4,4,5,0,0
5,461,66000,1,5,4,0,2,3,0,3,0
1,654,55687,1,18,0,0,2,3,0,3,4
5,732,55043,1,11,0,0,0,3,1,2,0
5,186,77619,0,4,2,0,2,2,0,0,0
5,461,83084,0,6,0,0,3,4,0,0,0
5,895,55687,1,13,3,0,5,3,9,5,0
5,581,77736,0,11,3,0,5,4,12,2,0
5,147,49865,0,4,3,0,3,0,0,0,0
3,947,45166,0,14,1,0,1,9,6,5,1
4,634,80310,0,5,0,0,1,4,2,0,1
4,147,35934,1,2,0,0,1,3,1,0,0
5,570,66000,1,27,4,0,3,6,10,0,0
4,501,67165,1,3,0,0,1,0,1,1,0
3,650,66000,1,11,0,0,0,1,1,6,0
5,382,35934,1,4,1,0,0,2,2,1,0
1,1741,77736,0,16,0,0,2,3,3,9,5
5,553,72569,1,12,3,0,5,7,0,2,0
5,461,67165,1,9,2,0,2,1,3,1,1
1,607,98140,1,17,0,0,2,1,0,1,4
4,248,66000,1,8,0,0,0,6,3,2,0
4,559,55043,1,9,0,0,1,5,3,2,0
5,123,35934,1,5,1,0,2,1,1,0,0
5,197,55687,1,7,2,0,3,2,1,1,0
5,453,77619,0,9,0,0,3,-1,3,3,0
5,74,35934,1,8,0,0,1,2,0,0,0
4,517,77619,0,9,1,1,4,0,2,1,0
5,211,72569,1,5,0,0,2,1,1,0,0
5,1437,27266,1,25,0,0,5,3,7,6,2
1,435,37316,1,6,0,1,2,0,1,3,1
3,103,80310,0,4,4,0,2,1,1,1,0
5,556,72569,1,6,0,1,0,2,3,7,0
5,264,98140,1,5,3,0,1,0,0,2,0
3,1195,66000,1,24,0,0,1,3,-1,5,3
4,374,72569,1,9,0,0,2,2,4,2,0
4,490,55687,1,5,0,0,1,2,4,0,1
5,431,77619,0,8,3,0,5,1,1,2,1
